"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-06-30,1329,"Plumas","CA",,1473,260600,0.0128254955305091,0.0424,0.0894648829431438,,,"2006-08","2006-Q3",349600,-0.254576659038902,"2004-09"
2018-06-30,2701,"Freestone","TX",,1474,108100,0.00558139534883721,-0.00184672206832872,0.0131208997188379,,,"2017-10","2017-Q4",110900,-0.0252479711451758,"2017-08"
2018-06-30,2307,"Gonzales","TX",,1475,109500,0.000914076782449726,0.00458715596330275,0.0468451242829828,,,"2018-06","2018-Q2",109500,0,"2018-06"
2018-06-30,2682,"Dickinson","KS",,1476,92100,0.00545851528384279,0.0221975582685905,-0.0284810126582278,,,"2008-05","2008-Q2",98300,-0.0630722278738555,"2006-08"
2018-06-30,2442,"Montague","TX",,1477,97400,0.00723888314374354,0.0177638453500522,0.00723888314374354,,,"2018-06","2018-Q2",97400,0,"2018-06"
2018-06-30,1874,"Lincoln","MT",,1478,157500,0.0102629890955741,0.0267275097783572,0.0361842105263158,,,"2004-11","2004-Q4",180900,-0.129353233830846,"2004-06"
2018-06-30,2376,"Lampasas","TX","Killeen",1479,158500,-0.00314465408805032,-0.00126023944549464,0.0379829731499673,,,"2018-04","2018-Q2",159100,-0.00377121307353866,"2018-03"
2018-06-30,3042,"Tishomingo","MS",,1480,99300,-0.0667293233082707,-0.148370497427101,-0.131993006993007,,,"2017-12","2017-Q4",117500,-0.154893617021277,"2015-06"
2018-06-30,2673,"Covington","MS",,1481,99300,0.0268872802481903,0.075839653304442,0.102108768035516,,,"2007-09","2007-Q3",99700,-0.00401203610832497,"2007-08"
2018-06-30,2918,"Deaf Smith","TX","Hereford",1482,100600,0.00299102691924227,0.00299102691924227,0.0435684647302905,,,"2018-06","2018-Q2",100600,0,"2018-06"
2018-06-30,677,"Perry","IN",,1483,101300,0.0109780439121757,0.049740932642487,0.138202247191011,,,"2018-06","2018-Q2",101300,0,"2018-06"
2018-06-30,603,"Llano","TX",,1484,234400,0.00600858369098712,0.0147186147186147,0.071787837219936,,,"2018-06","2018-Q2",234400,0,"2018-06"
2018-06-30,1145,"Lavaca","TX",,1485,107300,0.00374181478016838,0.00468164794007491,0.0458089668615984,,,"2018-06","2018-Q2",107300,0,"2018-06"
2018-06-30,2102,"Winston","MS",,1486,93000,-0.00214592274678112,0.00323624595469256,0.0021551724137931,,,"2017-10","2017-Q4",94900,-0.0200210748155954,"2017-08"
2018-06-30,724,"Smith","TN","Nashville",1487,130600,0.00693909020817271,0.027537372147915,0.122957867583835,,,"2018-06","2018-Q2",130600,0,"2018-06"
2018-06-30,2741,"Jefferson","KS","Topeka",1488,125500,0.00480384307445957,0.0120967741935484,0.0145513338722716,,,"2018-06","2018-Q2",125500,0,"2018-06"
2018-06-30,778,"Union","TN","Knoxville",1489,119100,-0.000838926174496644,0.00761421319796954,0.106877323420074,,,"2018-05","2018-Q2",119200,-0.000838926174496644,"2018-04"
2018-06-30,2932,"Green Lake","WI",,1490,128200,0.0094488188976378,0.028892455858748,0.051681706316653,,,"2007-06","2007-Q2",128700,-0.00388500388500389,"2007-05"
2018-06-30,1783,"Houston","MN","La Crosse",1491,170400,0.00471698113207547,0.0203592814371257,0.0564166150030998,,,"2009-07","2009-Q3",177400,-0.0394588500563698,"2009-05"
2018-06-30,679,"Perry","MO",,1492,135400,0.00969425801640567,0.0242057488653555,0.0763116057233704,,,"2018-06","2018-Q2",135400,0,"2018-06"
2018-06-30,2988,"New Madrid","MO",,1493,81900,0.00122249388753056,0.00986436498150432,0.0446428571428571,,,"2018-06","2018-Q2",81900,0,"2018-06"
2018-06-30,2829,"Poweshiek","IA",,1494,146000,0.00137174211248285,0.0103806228373702,0.0782865583456425,,,"2018-06","2018-Q2",146000,0,"2018-06"
2018-06-30,663,"Otero","CO",,1495,82900,0.00851581508515815,0.020935960591133,0.0752269779507134,,,"2018-06","2018-Q2",82900,0,"2018-06"
2018-06-30,363,"Adams","WA","Othello",1496,166600,0.00543150271575136,0.0183374083129584,0.0953320184089415,,,"2018-06","2018-Q2",166600,0,"2018-06"
2018-06-30,986,"Dekalb","TN",,1497,121100,0.00165425971877585,0.0100083402835696,0.0959276018099548,,,"2018-06","2018-Q2",121100,0,"2018-06"
2018-06-30,2254,"Duchesne","UT",,1498,207900,0.00289435600578871,0.0116788321167883,-0.00335570469798658,,,"2015-01","2015-Q1",214300,-0.0298646756882874,"2014-08"
2018-06-30,819,"Young","TX",,1499,92500,0.012035010940919,0.0220994475138122,0.0312151616499443,,,"2018-06","2018-Q2",92500,0,"2018-06"
2018-06-30,188,"Inyo","CA",,1500,338200,-0.00294811320754717,-0.00441566087724463,0.0301553457203777,,,"2007-02","2007-Q1",384400,-0.120187304890739,"2005-08"
2018-06-30,2728,"Humphreys","TN",,1501,107900,0.00278810408921933,0.0121951219512195,0.202898550724638,,,"2018-06","2018-Q2",107900,0,"2018-06"
2018-06-30,2451,"New Kent","VA","Richmond",1502,246000,-0.000406338886631451,-0.000812347684809098,0.00902378999179656,,,"2017-10","2017-Q4",248300,-0.00926298832057994,"2017-09"
2018-06-30,1064,"Greene","VA","Charlottesville",1503,219800,0,0.00319488817891374,0.019953596287703,,,"2007-05","2007-Q2",253200,-0.131911532385466,"2005-07"
2018-06-30,381,"Banks","GA",,1504,168900,0.00896057347670251,0.024878640776699,0.0840821566110398,,,"2018-06","2018-Q2",168900,0,"2018-06"
2018-06-30,588,"Lamar","GA","Atlanta",1505,121900,0.00743801652892562,0.0374468085106383,0.163167938931298,,,"2005-01","2005-Q1",149200,-0.182975871313673,
2018-06-30,1449,"Unicoi","TN","Johnson City",1506,110200,0.000908265213442325,0.00823421774931381,0.076171875,,,"2018-06","2018-Q2",110200,0,"2018-06"
2018-06-30,2403,"Mariposa","CA",,1507,232300,0.00606323083585968,0.0202020202020202,0.0631578947368421,,,"2018-06","2018-Q2",232300,0,"2018-06"
2018-06-30,1826,"Johnson","TN",,1508,83400,0.00240384615384615,0.0060313630880579,0.0411985018726592,,,"2007-10","2007-Q4",87000,-0.0413793103448276,"2007-01"
2018-06-30,887,"Bosque","TX",,1509,123500,0.006519967400163,0.021505376344086,0.0546541417591802,,,"2018-06","2018-Q2",123500,0,"2018-06"
2018-06-30,1886,"Lincoln","WY",,1510,218000,0.00368324125230203,0.0182157870154134,0.0371075166508088,,,"2018-06","2018-Q2",218000,0,"2018-06"
2018-06-30,2262,"Fentress","TN",,1511,83000,0,0.017156862745098,0.0793237971391417,,,"2018-06","2018-Q2",83000,0,"2018-06"
2018-06-30,2962,"Los Alamos","NM","Los Alamos",1512,291800,0.00516706854977609,0.0149565217391304,0.11501719526175,,,"2007-09","2007-Q3",315900,-0.0762899651788541,"2005-05"
2018-06-30,273,"Pike","GA","Atlanta",1513,170500,0.00887573964497041,0.0289680144840072,0.120973044049967,,,"2018-06","2018-Q2",170500,0,"2018-06"
2018-06-30,1231,"Morgan","GA","Atlanta",1514,218600,0.0125057897174618,0.0489443378119002,0.180983252296056,,,"2018-06","2018-Q2",218600,0,"2018-06"
2018-06-30,1560,"Bristol City","VA","Kingsport",1515,97200,0.00206185567010309,0.00725388601036269,0.0406852248394004,,,"2018-06","2018-Q2",97200,0,"2018-06"
2018-06-30,1606,"Chaffee","CO",,1516,361500,0.00640311804008909,0.0217637083097795,0.116085211485026,,,"2018-06","2018-Q2",361500,0,"2018-06"
2018-06-30,734,"Stone","MS",,1517,116300,0.011304347826087,0.0383928571428571,0.171198388721047,,,"2018-06","2018-Q2",116300,0,"2018-06"
2018-06-30,1472,"Warren","IL",,1518,63700,0.00473186119873817,0.0374592833876222,0.0143312101910828,,,"2001-05","2001-Q2",65600,-0.0289634146341463,"2001-01"
2018-06-30,955,"Cooper","MO",,1519,83600,0.00119760479041916,0.00601684717208183,0.0857142857142857,,,"2018-06","2018-Q2",83600,0,"2018-06"
2018-06-30,1028,"Gaines","TX",,1520,151000,0.00398936170212766,0.00935828877005348,0.0544692737430168,,,"2018-06","2018-Q2",151000,0,"2018-06"
2018-06-30,3201,"Westmoreland","VA",,1521,173900,0.00172811059907834,0.00346220427005193,0.00636574074074074,,,"2006-09","2006-Q3",218800,-0.205210237659963,"2005-02"
